job_name,robot_pos_x,robot_pos_y,init_robot_theta,goal_pos_x,goal_pos_y
0_nav,0.0,0.0,0.0,2.5,-1.0
1_nav,0.0,0.0,0.0,2.5,0.0
2_nav,0.0,0.0,0.0,2.5,1.0
3_nav,0.0,0.0,0.0,3.5,-1.0
4_nav,0.0,0.0,0.0,3.5,0.0
5_nav,0.0,0.0,0.0,3.5,1.0
6_nav,0.0,0.0,0.0,4.5,-1.0
7_nav,0.0,0.0,0.0,4.5,0.0
8_nav,0.0,0.0,0.0,4.5,1.0
9_nav,0.0,0.0,2.0,2.5,-1.0
10_nav,0.0,0.0,2.0,2.5,0.0
11_nav,0.0,0.0,2.0,2.5,1.0
12_nav,0.0,0.0,2.0,3.5,-1.0
13_nav,0.0,0.0,2.0,3.5,0.0
14_nav,0.0,0.0,2.0,3.5,1.0
15_nav,0.0,0.0,2.0,4.5,-1.0
16_nav,0.0,0.0,2.0,4.5,0.0
17_nav,0.0,0.0,2.0,4.5,1.0
18_nav,0.0,0.0,4.0,2.5,-1.0
19_nav,0.0,0.0,4.0,2.5,0.0
20_nav,0.0,0.0,4.0,2.5,1.0
21_nav,0.0,0.0,4.0,3.5,-1.0
22_nav,0.0,0.0,4.0,3.5,0.0
23_nav,0.0,0.0,4.0,3.5,1.0
24_nav,0.0,0.0,4.0,4.5,-1.0
25_nav,0.0,0.0,4.0,4.5,0.0
26_nav,0.0,0.0,4.0,4.5,1.0
27_nav,0.0,0.0,6.0,2.5,-1.0
28_nav,0.0,0.0,6.0,2.5,0.0
29_nav,0.0,0.0,6.0,2.5,1.0
30_nav,0.0,0.0,6.0,3.5,-1.0
31_nav,0.0,0.0,6.0,3.5,0.0
32_nav,0.0,0.0,6.0,3.5,1.0
33_nav,0.0,0.0,6.0,4.5,-1.0
34_nav,0.0,0.0,6.0,4.5,0.0
35_nav,0.0,0.0,6.0,4.5,1.0
job_name,robot_pos_x,robot_pos_y,init_robot_theta,goal_pos_x,goal_pos_y
0_nav,0.0,0.0,0.0,2.5,-1.0
1_nav,0.0,0.0,0.0,2.5,0.0
2_nav,0.0,0.0,0.0,2.5,1.0
3_nav,0.0,0.0,0.0,3.5,-1.0
4_nav,0.0,0.0,0.0,3.5,0.0
5_nav,0.0,0.0,0.0,3.5,1.0
6_nav,0.0,0.0,0.0,4.5,-1.0
7_nav,0.0,0.0,0.0,4.5,0.0
8_nav,0.0,0.0,0.0,4.5,1.0
9_nav,0.0,0.0,2.0,2.5,-1.0
10_nav,0.0,0.0,2.0,2.5,0.0
11_nav,0.0,0.0,2.0,2.5,1.0
12_nav,0.0,0.0,2.0,3.5,-1.0
13_nav,0.0,0.0,2.0,3.5,0.0
14_nav,0.0,0.0,2.0,3.5,1.0
15_nav,0.0,0.0,2.0,4.5,-1.0
16_nav,0.0,0.0,2.0,4.5,0.0
17_nav,0.0,0.0,2.0,4.5,1.0
18_nav,0.0,0.0,4.0,2.5,-1.0
19_nav,0.0,0.0,4.0,2.5,0.0
20_nav,0.0,0.0,4.0,2.5,1.0
21_nav,0.0,0.0,4.0,3.5,-1.0
22_nav,0.0,0.0,4.0,3.5,0.0
23_nav,0.0,0.0,4.0,3.5,1.0
24_nav,0.0,0.0,4.0,4.5,-1.0
25_nav,0.0,0.0,4.0,4.5,0.0
26_nav,0.0,0.0,4.0,4.5,1.0
27_nav,0.0,0.0,6.0,2.5,-1.0
28_nav,0.0,0.0,6.0,2.5,0.0
29_nav,0.0,0.0,6.0,2.5,1.0
30_nav,0.0,0.0,6.0,3.5,-1.0
31_nav,0.0,0.0,6.0,3.5,0.0
32_nav,0.0,0.0,6.0,3.5,1.0
33_nav,0.0,0.0,6.0,4.5,-1.0
34_nav,0.0,0.0,6.0,4.5,0.0
35_nav,0.0,0.0,6.0,4.5,1.0
job_name,robot_pos_x,robot_pos_y,init_robot_theta,goal_pos_x,goal_pos_y
0_nav,0.0,0.0,0.0,2.5,-1.0
1_nav,0.0,0.0,0.0,2.5,0.0
2_nav,0.0,0.0,0.0,2.5,1.0
3_nav,0.0,0.0,0.0,3.5,-1.0
4_nav,0.0,0.0,0.0,3.5,0.0
5_nav,0.0,0.0,0.0,3.5,1.0
6_nav,0.0,0.0,0.0,4.5,-1.0
7_nav,0.0,0.0,0.0,4.5,0.0
8_nav,0.0,0.0,0.0,4.5,1.0
9_nav,0.0,0.0,2.0,2.5,-1.0
10_nav,0.0,0.0,2.0,2.5,0.0
11_nav,0.0,0.0,2.0,2.5,1.0
12_nav,0.0,0.0,2.0,3.5,-1.0
13_nav,0.0,0.0,2.0,3.5,0.0
14_nav,0.0,0.0,2.0,3.5,1.0
15_nav,0.0,0.0,2.0,4.5,-1.0
16_nav,0.0,0.0,2.0,4.5,0.0
17_nav,0.0,0.0,2.0,4.5,1.0
18_nav,0.0,0.0,4.0,2.5,-1.0
19_nav,0.0,0.0,4.0,2.5,0.0
20_nav,0.0,0.0,4.0,2.5,1.0
21_nav,0.0,0.0,4.0,3.5,-1.0
22_nav,0.0,0.0,4.0,3.5,0.0
23_nav,0.0,0.0,4.0,3.5,1.0
24_nav,0.0,0.0,4.0,4.5,-1.0
25_nav,0.0,0.0,4.0,4.5,0.0
26_nav,0.0,0.0,4.0,4.5,1.0
27_nav,0.0,0.0,6.0,2.5,-1.0
28_nav,0.0,0.0,6.0,2.5,0.0
29_nav,0.0,0.0,6.0,2.5,1.0
30_nav,0.0,0.0,6.0,3.5,-1.0
31_nav,0.0,0.0,6.0,3.5,0.0
32_nav,0.0,0.0,6.0,3.5,1.0
33_nav,0.0,0.0,6.0,4.5,-1.0
34_nav,0.0,0.0,6.0,4.5,0.0
35_nav,0.0,0.0,6.0,4.5,1.0
